image_path,filename,category,dataset,density,hsv_density,lab_density,adaptive_density,processing_time,roi_coverage,image_shape,timestamp
data\raw\old\Aluminum_Aluminum breakage_001.jpg,Aluminum_Aluminum breakage_001.jpg,old_data,old,0.7873759557507727,0.9097688038407845,0.5486510719920097,0.5669621407303997,0.20189809799194336,0.5292856113033448,"(612, 816, 3)",2025-07-26T17:22:33.856434
data\raw\old\Aluminum_Aluminum breakage_002.jpg,Aluminum_Aluminum breakage_002.jpg,old_data,old,0.9013185002060157,0.9294245035608488,0.5960921466050377,0.7193197773078147,0.9798464775085449,0.5127204680891965,"(1224, 1632, 3)",2025-07-26T17:22:34.853214
data\raw\old\Aluminum_Aluminum breakage_003.jpg,Aluminum_Aluminum breakage_003.jpg,old_data,old,0.8483754131424167,0.7822831860276027,0.7259532634291085,0.6692854352118773,0.09091639518737793,0.37926518646674356,"(816, 612, 3)",2025-07-26T17:22:34.950698
data\raw\old\Aluminum_Aluminum breakage_004.jpg,Aluminum_Aluminum breakage_004.jpg,old_data,old,0.6572297581707334,0.6438506207539569,0.7289412105494227,0.28351912954137076,0.555579662322998,0.2219780815972222,"(1152, 864, 3)",2025-07-26T17:22:35.515090
data\raw\old\Aluminum_Aluminum breakage_005.jpg,Aluminum_Aluminum breakage_005.jpg,old_data,old,0.8966458887552451,0.7796261543102739,0.8024831628395347,0.7899889907106673,0.05771660804748535,0.5110994969883378,"(612, 816, 3)",2025-07-26T17:22:35.577807
data\raw\old\Aluminum_Aluminum breakage_006.jpg,Aluminum_Aluminum breakage_006.jpg,old_data,old,0.8234456807752063,0.6558719724115635,0.9079038356188988,0.5694740056218623,0.16640520095825195,0.296936,"(1000, 750, 3)",2025-07-26T17:22:35.751996
data\raw\old\Aluminum_Aluminum breakage_007.jpg,Aluminum_Aluminum breakage_007.jpg,old_data,old,0.82384859281535,0.7347514137220933,0.8595838917399405,0.4890906416500507,0.23145127296447754,0.32632533333333336,"(1000, 750, 3)",2025-07-26T17:22:35.991221
data\raw\old\Aluminum_Aluminum breakage_008.jpg,Aluminum_Aluminum breakage_008.jpg,old_data,old,0.8566379834122387,0.6526736614505139,0.8223559227210735,0.7910961311552049,29.765333890914917,0.47717999719177795,"(3024, 4032, 3)",2025-07-26T17:23:05.828443
data\raw\old\Aluminum_Aluminum breakage_009.jpg,Aluminum_Aluminum breakage_009.jpg,old_data,old,0.870449695804206,0.8020502536649313,0.7882836254017204,0.8072097435053404,26.520307302474976,0.5680793729528849,"(4032, 3024, 3)",2025-07-26T17:23:32.421337
data\raw\old\Aluminum_Aluminum breakage_010.jpg,Aluminum_Aluminum breakage_010.jpg,old_data,old,0.7940032500790659,0.6228627546119021,0.7554478268214926,0.8441418619830805,32.48725628852844,0.34516469106932895,"(3024, 4032, 3)",2025-07-26T17:24:04.979582
